# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,Accuracy_(m),Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
IMG_2181.JPG,11.611684,50.965718,410.732700,,,,,9.610649,-7.662383,-3.217369,-4.827110,,,,,11.611575,50.965689,405.905585,84.858871,22.830737,5.182481
IMG_2182.JPG,11.612056,50.965802,412.152700,,,,,8.299038,-6.830920,-2.806984,-3.785948,,,,,11.611959,50.965776,408.366748,86.282400,16.867886,3.421567
IMG_2183.JPG,11.612454,50.965875,411.082700,,,,,8.262511,-7.049418,-2.680126,-3.375163,,,,,11.612354,50.965851,407.707532,87.575158,13.813060,1.644565
IMG_2184.JPG,11.612907,50.965957,409.262700,,,,,10.418043,-9.177780,-3.597417,-3.370841,,,,,11.612776,50.965925,405.891851,82.496123,8.471630,5.266493
IMG_2185.JPG,11.613244,50.966180,405.682700,,,,,9.984421,-2.477307,-9.118403,-3.225885,,,,,11.613209,50.966098,402.456808,4.287206,4.840163,-36.052054
IMG_2186.JPG,11.613020,50.966356,401.742700,,,,,5.341838,4.291102,-2.860542,-1.392471,,,,,11.613081,50.966330,400.350227,264.109254,18.405632,-33.389596
IMG_2187.JPG,11.612774,50.966326,409.312700,,,,,5.517934,3.095638,-0.456684,-4.544894,,,,,11.612818,50.966322,404.767805,235.822338,32.870301,6.461133
IMG_2188.JPG,11.612493,50.966297,414.432700,,,,,6.084495,4.339329,-0.805305,-4.188411,,,,,11.612555,50.966290,410.244287,245.423621,14.568907,12.588103
IMG_2189.JPG,11.612124,50.966333,414.032700,,,,,7.871949,5.771006,-3.279380,-4.231871,,,,,11.612206,50.966303,409.800826,265.399542,13.665779,12.629469
IMG_2190.JPG,11.611711,50.966474,416.472700,,,,,9.781104,6.270756,-5.903612,-4.636268,,,,,11.611800,50.966421,411.836427,283.894788,14.991010,2.521084
IMG_2191.JPG,11.611336,50.966619,418.092700,,,,,9.381777,6.090019,-5.479560,-4.572071,,,,,11.611422,50.966569,413.520624,283.373300,11.380393,-2.475921
IMG_2192.JPG,11.610948,50.966745,417.602700,,,,,9.177129,6.668452,-4.802165,-4.085419,,,,,11.611043,50.966702,413.517276,276.969188,9.309514,-11.328843
IMG_2193.JPG,11.610575,50.966758,418.622700,,,,,7.439909,5.992531,-0.695417,-4.354103,,,,,11.610660,50.966752,414.268594,243.632212,13.549602,-12.014428
IMG_2194.JPG,11.610262,50.966695,419.252700,,,,,6.839543,5.434419,1.043791,-4.019569,,,,,11.610339,50.966704,415.233129,229.230710,11.922021,-2.943326
IMG_2195.JPG,11.609967,50.966608,419.332700,,,,,6.145877,4.520615,1.368282,-3.932385,,,,,11.610032,50.966620,415.400313,230.121581,11.285389,-1.173462
IMG_2196.JPG,11.609643,50.966514,418.852700,,,,,7.077701,5.737193,1.786557,-3.739877,,,,,11.609724,50.966530,415.112820,233.630852,10.005321,6.926757
IMG_2197.JPG,11.609346,50.966424,419.452700,,,,,7.095874,5.281468,2.251331,-4.170016,,,,,11.609421,50.966444,415.282681,232.800046,12.253900,-2.363673
IMG_2198.JPG,11.609049,50.966338,420.912700,,,,,7.564406,5.619826,2.094321,-4.609948,,,,,11.609129,50.966357,416.302749,233.396330,9.779743,0.295422
IMG_2199.JPG,11.608752,50.966258,422.712700,,,,,6.853058,4.401243,1.632323,-4.992894,,,,,11.608815,50.966273,417.719804,229.416608,8.502074,-0.278227
IMG_2200.JPG,11.608458,50.966189,421.542700,,,,,6.227071,5.096115,1.659911,-3.170286,,,,,11.608531,50.966203,418.372412,231.019560,5.276921,9.800207
IMG_2201.JPG,11.608133,50.966122,418.982700,,,,,6.827113,5.523163,1.666467,-3.650621,,,,,11.608211,50.966137,415.332077,234.975774,8.900949,2.779143
IMG_2202.JPG,11.607816,50.966067,419.062700,,,,,6.728845,5.075885,1.518854,-4.147992,,,,,11.607888,50.966081,414.914706,235.652427,12.010315,2.712877
IMG_2203.JPG,11.607519,50.966016,417.892700,,,,,6.490848,5.174085,1.580216,-3.586484,,,,,11.607593,50.966030,414.306214,233.253948,6.370352,1.577419
IMG_2204.JPG,11.607227,50.965948,415.282700,,,,,6.860090,5.428238,2.647153,-3.253866,,,,,11.607304,50.965971,412.028831,227.486503,6.096227,-0.217459
IMG_2205.JPG,11.606952,50.965887,413.112700,,,,,5.779187,4.168093,1.922542,-3.511386,,,,,11.607011,50.965904,409.601313,229.353355,8.301073,0.490697
IMG_2206.JPG,11.606659,50.965825,411.202700,,,,,5.694530,4.103677,1.988364,-3.410854,,,,,11.606718,50.965843,407.791845,230.396812,8.096994,-0.560653
IMG_2207.JPG,11.606346,50.965758,408.382700,,,,,6.385405,5.093599,2.295169,-3.092061,,,,,11.606418,50.965778,405.290636,225.023584,7.192330,-0.002302
IMG_2208.JPG,11.606040,50.965703,406.062700,,,,,7.063695,6.243088,1.257572,-3.055839,,,,,11.606128,50.965715,403.006858,236.537550,9.584714,21.896302
IMG_2209.JPG,11.605696,50.965832,403.972700,,,,,7.711414,4.197881,-5.488674,-3.423179,,,,,11.605756,50.965783,400.549517,300.516233,11.017777,36.246218
IMG_2210.JPG,11.605719,50.966197,409.292700,,,,,,,,,,,,,,,,,,
IMG_2211.JPG,11.606088,50.966426,420.692700,,,,,13.101109,-7.443788,-6.438932,-8.646921,,,,,11.605982,50.966368,412.045772,61.751540,30.477976,-1.186478
IMG_2212.JPG,11.606485,50.966553,422.582700,,,,,10.342649,-8.692123,-2.426524,-5.052658,,,,,11.606361,50.966531,417.530035,89.591627,9.885154,21.515470
IMG_2213.JPG,11.606916,50.966560,420.762700,,,,,9.838994,-8.767507,0.259697,-4.457485,,,,,11.606791,50.966562,416.305209,111.551234,7.972046,5.864731
IMG_2214.JPG,11.607338,50.966557,421.062700,,,,,10.024174,-9.006487,-0.848498,-4.318253,,,,,11.607209,50.966549,416.744441,105.640628,11.270943,-4.340358
IMG_2215.JPG,11.607764,50.966593,421.952700,,,,,9.976714,-8.710173,-2.345277,-4.262320,,,,,11.607640,50.966572,417.690374,97.204054,11.052310,-5.423361
IMG_2216.JPG,11.608191,50.966669,422.792700,,,,,10.382281,-8.751786,-3.654755,-4.223832,,,,,11.608067,50.966636,418.568861,88.925077,12.851576,-2.573930
IMG_2217.JPG,11.608626,50.966767,423.672700,,,,,10.630212,-8.882966,-4.156582,-4.100874,,,,,11.608499,50.966729,419.571818,84.967639,13.596541,2.403479
IMG_2218.JPG,11.609056,50.966872,425.112700,,,,,10.037353,-8.071712,-3.893661,-4.520544,,,,,11.608941,50.966837,420.592149,76.654908,11.742691,4.271124
IMG_2219.JPG,11.609482,50.966975,425.792700,,,,,10.500330,-8.573548,-4.420392,-4.148655,,,,,11.609360,50.966935,421.644038,78.595406,9.482032,0.746813
IMG_2220.JPG,11.609936,50.967084,424.782700,,,,,11.454863,-9.736919,-4.660388,-3.832372,,,,,11.609798,50.967042,420.950318,75.563681,6.299680,-3.182319
